Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Cattle,Offal,Fluke Mature,2019-03,Wales,959,11280,14,8.502
Cattle,Offal,Hepatic Scarring,2019-01,England,2955,138552,141,2.133
Cattle,Offal,Hepatic Scarring,2019-02,England,2446,123348,140,1.983
Cattle,Offal,Hepatic Scarring,2019-03,England,2123,120492,141,1.762
Cattle,Offal,Hepatic Scarring,2019-01,Wales,249,12163,14,2.047
Cattle,Offal,Hepatic Scarring,2019-02,Wales,194,11100,14,1.748
Cattle,Offal,Hepatic Scarring,2019-03,Wales,148,11280,14,1.312
Cattle,Offal,Hydatid Cysts,2019-01,England,96,138552,141,0.069
Cattle,Offal,Hydatid Cysts,2019-02,England,110,123348,140,0.089
Cattle,Offal,Hydatid Cysts,2019-03,England,65,120492,141,0.054
Cattle,Offal,Hydatid Cysts,2019-01,Wales,1,12163,14,0.008
Cattle,Offal,Hydatid Cysts,2019-02,Wales,3,11100,14,0.027
Cattle,Offal,Hydatid Cysts,2019-03,Wales,1,11280,14,0.009
Cattle,Offal,Liver Abscesses,2019-01,England,7363,138552,141,5.314
Cattle,Offal,Liver Abscesses,2019-02,England,6452,123348,140,5.231
Cattle,Offal,Liver Abscesses,2019-03,England,6431,120492,141,5.337
Cattle,Offal,Liver Abscesses,2019-01,Wales,320,12163,14,2.631
Cattle,Offal,Liver Abscesses,2019-02,Wales,355,11100,14,3.198
Cattle,Offal,Liver Abscesses,2019-03,Wales,355,11280,14,3.147
Cattle,Offal,Lung Abscesses,2019-01,England,6,138552,141,0.004
Cattle,Offal,Lung Worm ,2019-02,England,7,123348,140,0.006
Cattle,Offal,Lungworm,2019-01,England,65,138552,141,0.047
Cattle,Offal,Lungworm,2019-02,England,78,123348,140,0.063
Cattle,Offal,Lungworm,2019-03,England,107,120492,141,0.089
Cattle,Offal,Lungworm,2019-02,Wales,1,11100,14,0.009
Cattle,Offal,Lungworm,2019-03,Wales,1,11280,14,0.009
Cattle,Offal,Other,2019-01,England,8940,138552,141,6.452
Cattle,Offal,Other,2019-02,England,8124,123348,140,6.586
Cattle,Offal,Other,2019-03,England,8431,120492,141,6.997
Cattle,Offal,Other,2019-01,Wales,117,12163,14,0.962
Cattle,Offal,Other,2019-02,Wales,66,11100,14,0.595
Cattle,Offal,Other,2019-03,Wales,87,11280,14,0.771
Cattle,Offal,Pleurisy,2019-01,England,2621,138552,141,1.892
Cattle,Offal,Pleurisy,2019-02,England,2233,123348,140,1.81
Cattle,Offal,Pleurisy,2019-03,England,1999,120492,141,1.659
Cattle,Offal,Pleurisy,2019-01,Wales,42,12163,14,0.345
Cattle,Offal,Pleurisy,2019-02,Wales,24,11100,14,0.216
Cattle,Offal,Pleurisy,2019-03,Wales,42,11280,14,0.372
Cattle,Offal,Pneumonia,2019-01,England,5440,138552,141,3.926
Cattle,Offal,Pneumonia,2019-02,England,4826,123348,140,3.913
Cattle,Offal,Pneumonia,2019-03,England,4226,120492,141,3.507
Cattle,Offal,Pneumonia,2019-01,Wales,129,12163,14,1.061
Cattle,Offal,Pneumonia,2019-02,Wales,132,11100,14,1.189
Cattle,Offal,Pneumonia,2019-03,Wales,135,11280,14,1.197
Cattle,Offal,Pneumonia Mycoplasma Like,2019-02,England,2,123348,140,0.002
Cattle,Offal,Traumatic Pericarditis,2019-01,England,610,138552,141,0.44
Cattle,Offal,Traumatic Pericarditis,2019-02,England,565,123348,140,0.458
Cattle,Offal,Traumatic Pericarditis,2019-03,England,613,120492,141,0.509
Cattle,Offal,Traumatic Pericarditis,2019-01,Wales,18,12163,14,0.148
Cattle,Offal,Traumatic Pericarditis,2019-02,Wales,23,11100,14,0.207
Cattle,Offal,Traumatic Pericarditis,2019-03,Wales,12,11280,14,0.106
Cattle,Total Rejections,Abnormal Odour - Uraemia,2019-01,England,3,138552,141,0.002
Cattle,Total Rejections,Abnormal Odour - Uraemia,2019-02,England,5,123348,140,0.004
Cattle,Total Rejections,Abnormal Odour - Uraemia,2019-03,England,1,120492,141,0.001
Cattle,Total Rejections,Contamination,2019-01,England,9,138552,141,0.006
Cattle,Total Rejections,Contamination,2019-02,England,7,123348,140,0.006
Cattle,Total Rejections,Contamination,2019-03,England,13,120492,141,0.011
Cattle,Total Rejections,Cysticercus bovis (Generalised),2019-01,England,2,138552,141,0.001
Cattle,Total Rejections,Cysticercus bovis (Generalised),2019-02,England,1,123348,140,0.001
Cattle,Total Rejections,Cysticercus bovis (Generalised),2019-03,England,2,120492,141,0.002
Cattle,Total Rejections,Generalised Oedema/Emaciation,2019-01,England,69,138552,141,0.05
Cattle,Total Rejections,Generalised Oedema/Emaciation,2019-02,England,74,123348,140,0.06
Cattle,Total Rejections,Generalised Oedema/Emaciation,2019-03,England,74,120492,141,0.061
Cattle,Total Rejections,Generalised Oedema/Emaciation,2019-01,Wales,7,12163,14,0.058
Cattle,Total Rejections,Generalised Oedema/Emaciation,2019-02,Wales,5,11100,14,0.045
Cattle,Total Rejections,Generalised Oedema/Emaciation,2019-03,Wales,11,11280,14,0.098
Cattle,Total Rejections,Generalised TB (Suspect),2019-01,England,76,138552,141,0.055
Cattle,Total Rejections,Generalised TB (Suspect),2019-02,England,95,123348,140,0.077
